Consumer_id,Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
293,2,1,3,2,1,1,5,1.5976
294,2,2,5,2,2,1,4,1.10585
295,1,1,1,1,3,2,1,1.1105
296,1,2,1,1,3,2,2,-0.10283
297,1,1,1,1,4,2,1,1.21383
298,1,2,1,1,4,2,1,0.94406
299,2,2,4,2,1,1,1,0.47837
300,1,2,2,2,1,1,4,1.10789
301,1,1,1,1,3,5,2,-0.19219
302,2,2,4,2,2,1,3,1.18462
303,1,1,3,2,1,1,3,1.28009
304,1,1,3,2,1,1,5,0.49295
305,2,2,3,2,1,1,3,1.18581
306,1,2,3,2,3,1,3,1.58372
307,1,1,3,2,1,1,1,1.62719
308,1,2,2,2,3,1,2,1.36422
309,2,2,0,2,2,2,2,1.60141
310,2,1,3,2,1,1,3,1.27728
311,2,0,3,2,1,1,2,1.12508
312,1,2,0,1,3,1,3,2.03645
313,1,2,2,2,1,1,3,1.18631
314,1,2,3,2,1,1,5,1.75403
315,1,2,1,2,3,3,1,1.38664
316,1,1,3,2,1,1,2,0.90418
317,2,1,3,2,2,1,2,1.28749
318,2,2,4,2,1,1,2,1.33724
319,2,1,2,2,5,1,5,1.23937
320,2,2,3,1,5,1,3,1.42637
321,2,2,3,2,1,1,3,1.24402
322,2,2,3,2,5,1,5,2.03645
323,2,1,3,2,5,1,5,1.89292
324,1,2,4,2,3,2,2,1.28323
325,2,1,5,2,1,1,3,-2.39152
326,2,1,3,2,1,1,4,-2.84009
327,2,2,3,2,1,1,4,-1.7179
328,1,2,3,2,1,1,5,-2.85739
329,1,1,1,1,8,1,1,-2.08817
330,1,1,0,1,5,2,4,-2.55946
331,1,1,1,2,8,1,3,-1.82441
332,1,2,2,2,3,1,4,-2.76086
333,1,2,1,2,1,1,5,-2.11346
334,2,2,3,2,2,1,5,-2.56876
335,1,2,2,2,1,1,5,-3.26407
336,2,2,4,2,1,1,1,-2.36918
337,2,1,1,2,1,4,1,-2.31182
338,1,2,4,2,1,1,5,-2.13619
339,1,2,1,2,3,1,2,-0.36465
340,1,1,1,2,3,4,1,1.45298
341,1,2,1,2,3,4,1,0.68877
342,1,2,1,2,3,1,5,0.45331
343,1,1,1,2,3,2,1,-0.7191
344,1,1,1,2,8,1,3,-0.08239
345,1,2,1,2,8,2,2,0.24929
346,1,2,1,2,3,1,3,0.79308
347,1,2,1,2,3,1,5,-0.32465
348,1,1,1,2,3,1,3,-1.10127
349,1,2,1,2,3,1,4,0.90145
350,1,1,1,2,3,1,3,0.36125
351,1,1,1,2,3,1,5,-1.27326
352,1,2,1,2,3,4,0,-1.15059
353,1,1,1,2,3,1,1,-1.66277
354,1,2,1,2,3,1,3,1.17134
355,1,2,1,2,3,1,3,-0.10228
356,1,2,1,2,8,6,2,-0.19407
357,1,1,1,2,3,3,1,0.68007
358,1,1,1,2,3,2,5,1.7583
359,1,1,1,2,3,1,2,0.56751
360,1,1,1,2,3,1,4,0.5078
361,1,2,1,2,3,1,3,0.36071
362,1,2,1,2,3,1,5,-1.55061
363,1,1,1,2,3,1,3,-0.38974
364,1,1,1,2,3,1,4,-0.23293
365,1,2,1,2,3,1,4,-0.92345
366,1,2,1,2,2,2,1,1.15296
367,1,2,1,2,3,1,4,-0.07943
368,1,2,1,2,3,8,5,-2.96809
369,1,2,1,2,3,1,2,0.61177
370,1,1,1,2,3,1,3,0.07221
371,1,1,1,2,3,1,4,-0.47184
372,1,1,1,2,3,3,1,1.27258
373,1,2,1,2,3,1,4,-0.10235
374,1,2,1,2,3,2,4,0.63698
375,1,1,1,2,3,1,5,-0.71365
376,1,2,1,2,3,1,4,-0.33512
377,1,2,1,2,4,1,4,0.31097
378,1,2,1,2,3,2,1,0.65328
